国名,ISO2,ISO3,地域,193カ国内順位,WGI_政治安定性パーセンタイル_2024,治安・政治リスク分類,固定現金イベント_USD,主要産業,投資ルーレット,投資期待変化率_参考,備考
ドミニカ共和国,DO,DOM,アメリカ,57,76.0,中間,2000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ドミニカ国,DM,DMA,アメリカ,15,87.0,安定,5000,観光業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ナイジェリア,NG,NGA,アフリカ,183,31.7,不安定,-6000,石油・ガス産業,1-4:+70%;5-10:-50%,-2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ナウル,NR,NRU,オセアニア,23,84.8,安定,4000,水産業,1-3:+20%;4-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ナミビア,NA,NAM,アフリカ,60,75.2,中間,2000,ウラン・鉱業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ニカラグア,NI,NIC,アメリカ,101,64.7,中間,0,農業・食品産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ニジェール,NE,NER,アフリカ,177,35.8,不安定,-5000,ウラン・鉱業,1-5:+60%;6-10:-40%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ニュージーランド,NZ,NZL,オセアニア,21,85.5,安定,4000,観光・サービス業,1:+70%;2-7:0%;8-10:-30%,-2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ネパール,NP,NPL,アジア,128,58.8,中間,-1000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ノルウェー,NO,NOR,ヨーロッパ,37,81.3,中間,3000,エネルギー産業,1-3:+50%;4-6:0%;7-10:-20%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ハイチ,HT,HTI,アメリカ,167,45.4,不安定,-4000,繊維・アパレル産業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ハンガリー,HU,HUN,ヨーロッパ,68,73.3,中間,1000,製造業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
バヌアツ,VU,VUT,オセアニア,32,82.3,中間,3000,観光・漁業,1-3:+50%;4-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
バハマ,BS,BHS,アメリカ,26,83.8,安定,4000,観光業,1-3:+50%;4-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
バルバドス,BB,BRB,アメリカ,9,87.6,安定,6000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
バングラデシュ,BD,BGD,アジア,171,40.9,不安定,-4000,繊維・アパレル産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
バーレーン,BH,BHR,アジア,118,61.2,中間,-1000,金融業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
パキスタン,PK,PAK,アジア,185,30.6,不安定,-6000,繊維・アパレル産業,1-4:+60%;5-6:0%;7-10:-40%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
パナマ,PA,PAN,アメリカ,79,70.4,中間,1000,物流・金融業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
パプアニューギニア,PG,PNG,オセアニア,145,54.7,中間,-2000,林業・木材産業,1-3:+70%;4-6:0%;7-10:-40%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
パラオ,PW,PLW,オセアニア,12,87.1,安定,6000,水産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
パラグアイ,PY,PRY,アメリカ,102,64.6,中間,0,農業・畜産業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
フィジー,FJ,FJI,オセアニア,50,77.8,中間,2000,観光・漁業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
フィリピン,PH,PHL,アジア,154,52.7,中間,-3000,ビジネスプロセス・サービス業,1-5:+30%;6-8:0%;9-10:-30%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
フィンランド,FI,FIN,ヨーロッパ,38,80.1,中間,3000,機械・精密工業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
フランス,FR,FRA,ヨーロッパ,114,61.8,中間,-1000,航空宇宙・高付加価値製造業,1-2:+40%;3-7:0%;8-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブラジル,BR,BRA,アメリカ,135,57.0,中間,-2000,農業・資源産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブルガリア,BG,BGR,ヨーロッパ,90,66.6,中間,0,製造業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブルキナファソ,BF,BFA,アフリカ,182,33.3,不安定,-6000,農業・食品産業,1-5:+50%;6:0%;7-10:-40%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブルネイ,BN,BRN,アジア,18,86.4,安定,5000,石油・ガス産業,1-6:+30%;7-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブルンジ,BI,BDI,アフリカ,169,42.4,不安定,-4000,農業・食品産業,1-3:+40%;4-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ブータン,BT,BTN,アジア,6,89.0,安定,7000,水力・電力産業,1-5:+20%;6-9:0%;10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベトナム,VN,VNM,アジア,94,66.0,中間,0,電子・製造業,1-6:+30%;7:0%;8-10:-30%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベナン,BJ,BEN,アフリカ,127,59.0,中間,-1000,農業・食品産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベネズエラ,VE,VEN,アメリカ,175,36.2,不安定,-5000,石油・ガス産業,1-4:+70%;5:0%;6-10:-50%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベラルーシ,BY,BLR,ヨーロッパ,124,59.4,中間,-1000,製造業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベリーズ,BZ,BLZ,アメリカ,43,79.3,中間,3000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ベルギー,BE,BEL,ヨーロッパ,88,68.0,中間,0,化学・製薬産業,1:+50%;2-8:0%;9-10:-20%,1.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ペルー,PE,PER,アメリカ,146,54.7,中間,-2000,銅鉱業,1-5:+50%;6-10:-40%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ホンジュラス,HN,HND,アメリカ,139,56.2,中間,-2000,農業・食品産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ボスニア・ヘルツェゴビナ,BA,BIH,ヨーロッパ,133,57.3,中間,-2000,製造業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ボツワナ,BW,BWA,アフリカ,29,83.5,安定,4000,ダイヤモンド鉱業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ボリビア,BO,BOL,アメリカ,136,56.6,中間,-2000,鉱業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ポルトガル,PT,PRT,ヨーロッパ,61,75.1,中間,2000,航空・観光サービス業,1-3:+40%;4-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ポーランド,PL,POL,ヨーロッパ,63,74.4,中間,2000,製造業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マダガスカル,MG,MDG,アフリカ,132,57.7,中間,-2000,農業・食品産業,1-4:+30%;5-8:0%;9-10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マラウイ,MW,MWI,アフリカ,125,59.4,中間,-1000,農業・食品産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マリ,ML,MLI,アフリカ,192,23.3,不安定,-9000,金・鉱業,1-3:+70%;4:0%;5-10:-40%,-3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マルタ,MT,MLT,ヨーロッパ,39,79.6,中間,3000,観光・金融業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マレーシア,MY,MYS,アジア,72,72.5,中間,1000,電子・製造業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
マーシャル諸島,MH,MHL,オセアニア,8,87.7,安定,6000,水産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ミクロネシア連邦,FM,FSM,オセアニア,3,91.5,安定,8000,水産業,1-3:+30%;4-8:0%;9-10:-20%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ミャンマー,MM,MMR,アジア,187,30.2,不安定,-7000,農業・食品産業,1-2:+70%;3-6:0%;7-10:-40%,-2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
メキシコ,MX,MEX,アメリカ,150,53.7,中間,-3000,自動車・製造業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モザンビーク,MZ,MOZ,アフリカ,176,35.9,不安定,-5000,石油・ガス産業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モナコ,MC,MCO,ヨーロッパ,11,87.1,安定,6000,金融業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モルディブ,MV,MDV,アジア,100,65.0,中間,0,観光業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モルドバ,MD,MDA,ヨーロッパ,121,60.0,中間,-1000,農業・ワイン産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モロッコ,MA,MAR,アフリカ,130,58.4,中間,-2000,製造業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モンゴル,MN,MNG,アジア,70,73.1,中間,1000,鉱業,1-6:+30%;7-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モンテネグロ,ME,MNE,ヨーロッパ,74,71.6,中間,1000,観光業,1-3:+50%;4-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モーリシャス,MU,MUS,アフリカ,41,79.4,中間,3000,観光・金融業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
モーリタニア,MR,MRT,アフリカ,138,56.3,中間,-2000,鉱業,1-4:+40%;5-6:0%;7-10:-30%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ヨルダン,JO,JOR,アジア,122,59.9,中間,-1000,医薬・サービス業,1-4:+20%;5-9:0%;10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ラオス,LA,LAO,アジア,59,75.4,中間,2000,水力・電力産業,1-4:+20%;5-9:0%;10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ラトビア,LV,LVA,ヨーロッパ,54,76.5,中間,2000,港湾・物流業,1-2:+30%;3-9:0%;10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
リトアニア,LT,LTU,ヨーロッパ,34,81.9,中間,3000,製造業,1-3:+30%;4-8:0%;9-10:-20%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
リヒテンシュタイン,LI,LIE,ヨーロッパ,1,92.9,安定,10000,金融業,1:+70%;2-8:0%;9-10:-20%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
リビア,LY,LBY,アフリカ,181,33.5,不安定,-5000,石油・ガス産業,1-3:+70%;4:0%;5-10:-40%,-3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
リベリア,LR,LBR,アフリカ,112,62.0,中間,-1000,鉱業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ルクセンブルク,LU,LUX,ヨーロッパ,25,84.2,安定,4000,金融業,1:+50%;2-8:0%;9-10:-20%,1.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ルワンダ,RW,RWA,アフリカ,98,65.1,中間,0,コーヒー・農産物産業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ルーマニア,RO,ROU,ヨーロッパ,83,68.6,中間,1000,製造業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
レソト,LS,LSO,アフリカ,116,61.5,中間,-1000,繊維・アパレル産業,1-5:+30%;6-8:0%;9-10:-20%,11.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
レバノン,LB,LBN,アジア,170,42.2,不安定,-4000,金融・サービス業,1-2:+50%;3-7:0%;8-10:-30%,1.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ロシア,RU,RUS,ヨーロッパ,158,50.5,中間,-3000,エネルギー産業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
中国,CN,CHN,アジア,107,63.3,中間,0,製造・輸出産業,1-4:+30%;5-7:0%;8-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
中央アフリカ共和国,CF,CAF,アフリカ,179,34.6,不安定,-5000,鉱業,1-3:+70%;4:0%;5-10:-40%,-3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
北マケドニア,MK,MKD,ヨーロッパ,84,68.6,中間,1000,製造業,1-3:+30%;4-8:0%;9-10:-20%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
北朝鮮,KP,PRK,アジア,75,71.4,中間,1000,鉱業,1-2:+70%;3-5:0%;6-10:-40%,-6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
南アフリカ,ZA,ZAF,アフリカ,143,55.4,中間,-2000,資源・鉱業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
南スーダン,SS,SSD,アフリカ,172,40.4,不安定,-4000,石油・ガス産業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
日本,JP,JPN,アジア,22,85.3,安定,4000,自動車産業,1:+60%;2-7:0%;8-10:-10%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
東ティモール,TL,TLS,アジア,62,74.9,中間,2000,エネルギー産業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
赤道ギニア,GQ,GNQ,アフリカ,106,63.5,中間,0,石油・ガス産業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
韓国,KR,KOR,アジア,51,76.8,中間,2000,半導体・電子産業,1-4:+40%;5-6:0%;7-10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
